Operation,Method,File_OID,File_Size_Bytes,Time_Taken_Seconds
Encrypt,AES,17733,16024794,0.5514
Encrypt,RC4,17735,16024794,0.4776
Encrypt,DES,17737,16024794,3.3395
Decrypt,AES,17734,16024794,0.4475
Decrypt,RC4,17736,16024794,1.1098
Decrypt,DES,17738,16024794,2.8658
Encrypt,AES,17742,72636361,2.5706
Encrypt,RC4,17744,72636361,2.0385
Encrypt,DES,17746,72636361,13.3197
Decrypt,AES,17743,72636361,2.4226
Decrypt,RC4,17745,72636361,3.7538
Decrypt,DES,17747,72636361,13.5354
Encrypt,AES,17751,292568621,10.7325
Encrypt,RC4,17753,292568621,9.8001
Encrypt,DES,17755,292568621,54.7723
Decrypt,AES,17752,292568621,9.1653
Encrypt,DES,17758,292568621,51.7035
Encrypt,AES,17760,28318,0.0059
Encrypt,DES,17762,28318,0.0256
Encrypt,RC4,17764,28318,0.0070
Encrypt,AES,17766,72636361,2.7268
Encrypt,DES,17768,72636361,14.4857
Encrypt,RC4,17770,72636361,5.6410
Encrypt,AES,17772,98870,0.0086
Encrypt,DES,17774,98870,0.0259
Encrypt,RC4,17776,98870,0.0060
Encrypt,AES,17778,352742,0.0203
Encrypt,DES,17780,352742,0.0951
Encrypt,RC4,17782,352742,0.0117
Encrypt,AES,17784,292568621,14.2181
Encrypt,DES,17786,292568621,66.1553
Encrypt,RC4,17788,292568621,10.7504
Decrypt,AES,17761,28318,0.0218
Decrypt,AES,17767,72636361,3.6599
Decrypt,AES,17773,98870,0.0231
Decrypt,AES,17779,352742,0.0338
Decrypt,AES,17785,292568621,12.8031
Decrypt,RC4,17736,16024794,1.0742
Decrypt,RC4,17745,72636361,4.4081
Decrypt,RC4,17754,292568621,10.2842
Decrypt,RC4,17765,28318,0.0075
Decrypt,RC4,17771,72636361,2.0523
Decrypt,RC4,17777,98870,0.2383
Decrypt,RC4,17783,352742,0.0468
Decrypt,RC4,17789,292568621,7.8541
Decrypt,DES,17763,28318,0.0193
Decrypt,DES,17769,72636361,12.8156
Decrypt,DES,17775,98870,0.0454
Decrypt,DES,17781,352742,0.0753
Decrypt,DES,17787,292568621,49.9231
Encrypt,AES,17809,371659301,18.9006
Encrypt,AES,17811,371659301,14.9501
Encrypt,AES,17825,371659301,15.4838
Decrypt,AES,17826,371659301,14.0203
Encrypt,AES,17828,371659301,14.6145
Encrypt,AES,17830,371659301,11.7370
Encrypt,AES,17832,371659301,14.9373
Decrypt,AES,17826,371659301,13.8227
Encrypt,AES,17835,371659301,16.3733
Encrypt,RC4,17837,371659301,13.3550
Encrypt,DES,17839,371659301,66.2460
Encrypt,AES,17841,194722563,7.5819
Encrypt,RC4,17843,194722563,13.2017
Encrypt,DES,17845,194722563,39.1907
Encrypt,AES,17847,155632156,9.2571
Encrypt,RC4,17849,155632156,6.3401
Encrypt,DES,17851,155632156,31.9035
Encrypt,AES,17853,821580220,57.0318
Encrypt,RC4,17855,821580220,51.7572
Encrypt,DES,17857,821580220,149.9387
Encrypt,AES,17859,267547480,15.8382
Encrypt,RC4,17861,267547480,15.6801
Encrypt,DES,17863,267547480,50.6729
Encrypt,AES,17865,231067053,13.9668
Encrypt,RC4,17867,231067053,16.0569
Encrypt,DES,17869,231067053,44.7435
Encrypt,AES,17871,252210764,18.7771
Encrypt,RC4,17873,252210764,19.7917
Encrypt,DES,17875,252210764,49.0702
Encrypt,AES,17877,486937960,26.3651
Encrypt,RC4,17879,486937960,29.9321
Encrypt,DES,17881,486937960,95.0201
Encrypt,AES,17883,375070496,28.2429
Encrypt,RC4,17885,375070496,24.6165
Encrypt,DES,17887,375070496,72.5651
Encrypt,AES,17889,333093498,22.7940
