Operation,Method,File_OID,File_Size_Bytes,Time_Taken_Seconds
Decrypt,RC4,17856,821580220,33.2373
Decrypt,RC4,17862,267547480,8.0553
Decrypt,RC4,17868,231067053,8.0158
Decrypt,RC4,17868,231067053,6.9118
Decrypt,RC4,17874,252210764,8.7968
Decrypt,RC4,17880,486937960,16.9175
Decrypt,RC4,17886,375070496,9.9254
Decrypt,RC4,17892,333093498,9.2456
Decrypt,RC4,17898,290716067,9.5461
Decrypt,RC4,17904,206620493,12.6391
Decrypt,RC4,17910,390131128,13.0816
Decrypt,RC4,17916,249062043,11.7568
Decrypt,RC4,17922,675074379,36.9164
Decrypt,AES,17956,304138972,10.6128
Decrypt,AES,17962,996664042,43.4745
Decrypt,AES,17968,741871701,31.5695
Decrypt,AES,17980,924280634,58.1002
Decrypt,RC4,17958,304138972,13.6437
Decrypt,RC4,17964,996664042,54.6459
Decrypt,RC4,17970,741871701,38.4974
Decrypt,RC4,17982,924280634,51.0072
Decrypt,DES,17840,371659301,69.0485
Decrypt,DES,17846,194722563,37.4724
Decrypt,DES,17852,155632156,32.0993
Decrypt,DES,17858,821580220,159.4455
Decrypt,DES,17864,267547480,52.5032
Decrypt,DES,17870,231067053,45.6874
Decrypt,DES,17876,252210764,49.4673
Decrypt,DES,17888,375070496,76.6924
Decrypt,DES,17894,333093498,63.5881
Decrypt,DES,17900,290716067,60.0634
Decrypt,DES,17906,206620493,41.5945
Decrypt,DES,17912,390131128,85.6913

Decrypt,DES,17918,249062043,49.4457
Decrypt,DES,17924,675074379,141.5280
Decrypt,DES,17960,304138972,64.4875
Decrypt,DES,17966,996664042,184.4641
Decrypt,DES,17972,741871701,136.8773
Decrypt,DES,17984,924280634,168.6909
Decrypt,AES,17956,304138972,16.6541
Decrypt,AES,17962,996664042,56.4935
Decrypt,AES,17968,741871701,41.1193
Decrypt,AES,17980,924280634,50.5208
Encrypt,RC4,18047,16024794,0.4239
Encrypt,AES,18049,98802957,4.7066
Decrypt,AES,18050,98802957,4.6054
Encrypt,RC4,18052,1100347,0.0446
Decrypt,RC4,18053,1100347,0.0707
Encrypt,DES,18055,33880,0.0182
Decrypt,DES,18056,33880,0.0495
Encrypt,RC4,18059,918183,0.0333
Encrypt,AES,18061,918183,0.0461
Decrypt,AES,18062,918183,0.0581
Decrypt,AES,18062,918183,0.0664
Decrypt,RC4,18060,918183,0.0524
Decrypt,AES,18062,918183,0.0336
Decrypt,AES,18062,918183,0.0334
Decrypt,AES,18062,918183,0.0467
Decrypt,AES,18062,918183,0.0692
Decrypt,RC4,18060,918183,0.0447
Encrypt,AES,18071,1018032,0.0419
Decrypt,AES,18072,1018032,0.0380
Decrypt,AES,18072,1018032,0.0632
Decrypt,AES,18062,918183,0.0532
Decrypt,AES,18072,1018032,0.0846
Encrypt,AES,18161,1018032,0.0479
Decrypt,AES,18162,1018032,0.0517
Decrypt,AES,18162,1018032,0.0679
Decrypt,AES,18162,1018032,0.0658
Decrypt,AES,18162,1018032,0.0669
Decrypt,AES,18162,1018032,0.0579
Decrypt,AES,18162,1018032,0.0630
Decrypt,AES,18162,1018032,0.0527
Decrypt,AES,18162,1018032,0.0431
Decrypt,AES,18162,1018032,0.0646
Decrypt,AES,18162,1018032,0.0601
Decrypt,AES,18162,1018032,0.0660
Decrypt,AES,18162,1018032,0.0564
Decrypt,AES,18162,1018032,0.0599
Decrypt,AES,18162,1018032,0.0145
Encrypt,AES,18177,1018032,0.0368
Decrypt,AES,18178,1018032,0.0097
Decrypt,AES,18178,1018032,0.0130
Decrypt,AES,18162,1018032,0.0105
Decrypt,AES,18178,1018032,0.0221
Decrypt,AES,18178,1018032,0.0616
Decrypt,AES,18162,1018032,0.0587
Decrypt,AES,18162,1018032,0.0131
Decrypt,AES,18178,1018032,0.0597
Decrypt,AES,18178,1018032,0.0639
Decrypt,AES,18178,1018032,0.0154
Decrypt,AES,18162,1018032,0.0132
Encrypt,AES,18214,6866961,0.2136
Decrypt,AES,18215,6866961,0.0690
Encrypt,RC4,18216,1327988,0.0328
Decrypt,RC4,18217,1327988,0.0091
Encrypt,DES,18218,5825475,1.1492
Decrypt,DES,18219,5825475,0.9248
