Method,File_Size_Bytes,Time_Taken_Seconds,TOPSIS_Score
AES,28318,0.0059,0.0
AES,98870,0.0086,1.463746257959798e-05
AES,352742,0.0203,7.806646709118922e-05
AES,16024794,0.5514,0.0029573095693224806
AES,72636361,2.6487,0.014327365224207977
AES,155632156,9.2571,0.050153368080139565
AES,194722563,7.5819,0.04107163574186455
AES,206620493,17.0168,0.09222089340566049
AES,231067053,13.9668,0.07568598197315164
AES,237333342,16.8719,0.09143534958055538
AES,249062043,15.1914,0.08232488444536486
AES,252210764,18.7771,0.10176397687931467
AES,267547480,15.8382,0.08583136992554412
AES,290716067,22.4281,0.12155707905639328
AES,292568621,12.4753,0.06760013921853299
AES,304138972,21.1724,0.11474957470039283
AES,333093498,22.794,0.12354072630005064
AES,371659301,15.285228571428572,0.08283355563172888
AES,375070496,28.2429,0.15308075217041042
AES,390131128,27.1652,0.14723823608817607
AES,486937960,26.3651,0.1429006680104219
AES,523020745,32.8394,0.1779996768915668
AES,566725585,33.8871,0.18367955450069445
AES,648823892,37.5556,0.20356752912041862
AES,675074379,38.1849,0.20697914215795232
AES,737597114,45.6431,0.24741215082875143
AES,741871701,46.8179,0.25378107343560763
AES,748165790,42.1026,0.228218100360949
AES,821580220,57.0318,0.30915351011773945
AES,924280634,54.2818,0.294244983416297
AES,996664042,56.4943,0.3062395708079121
DES,28318,0.0256,0.00010679926400669639
DES,98870,0.0259,0.00010842564873776283
DES,352742,0.0951,0.00048357839337042225
DES,16024794,3.3395,0.018072387131610305
DES,72636361,13.9027,0.07533847776894712
DES,155632156,31.9035,0.17292589865888316
DES,194722563,39.1907,0.21243186803297442
DES,206620493,39.1939,0.21244921613677248
DES,231067053,44.7435,0.24253516514852685
DES,237333342,46.6002,0.2526008602490971
DES,249062043,47.2964,0.25637515708165864
DES,252210764,49.0702,0.2659914278682108
DES,267547480,50.6729,0.27468011722981145
DES,290716067,59.7864,0.3240869747183915
DES,292568621,57.5437,0.3119286645971825
DES,304138972,57.2392,0.31027788409515
DES,333093498,60.9107,0.3301821225621849
DES,371659301,66.246,0.3591062907477141
DES,375070496,72.5651,0.39336391659465403
DES,390131128,70.1457,0.38024766586684683
DES,486937960,95.0201,0.5150988137149771
DES,523020745,99.8426,0.5412429482668702
DES,566725585,108.0309,0.5856340352448414
DES,648823892,124.2131,0.6733623118950527
DES,675074379,123.1865,0.6677968233453433
DES,737597114,139.6618,0.7571140778778065
DES,741871701,134.0935,0.7269267508844823
DES,748165790,135.2308,0.7330923753999551
DES,821580220,149.9387,0.8128280553534623
DES,924280634,177.9104,0.9644705412933662
DES,996664042,182.5022,0.9893639859870691
RC4,28318,0.007,5.963410680576957e-06
RC4,98870,0.006,5.421282436888136e-07
RC4,352742,0.0117,3.1443438133951215e-05
RC4,16024794,0.4776,0.002557218925480136
RC4,72636361,3.83975,0.020784383670663598
RC4,155632156,6.3401,0.03433948721173686
RC4,194722563,13.2017,0.07153815878068855
RC4,206620493,12.2057,0.06613856147354794
RC4,231067053,16.0569,0.08701700439449155
RC4,237333342,18.0886,0.09803142392151719
RC4,249062043,13.8885,0.07526149555834331
RC4,252210764,19.7917,0.10726441003978136
RC4,267547480,15.6801,0.0849742651722721
RC4,290716067,22.5046,0.12197180716281522
RC4,292568621,10.27525,0.05567304679325723
RC4,304138972,18.5267,0.10040648775711788
RC4,333093498,21.3143,0.11551885467818726
RC4,371659301,13.355,0.07236924137826349
RC4,375070496,24.6165,0.13342101354127928
RC4,390131128,22.4609,0.12173489712032319
RC4,486937960,29.9321,0.16223838246280187
RC4,523020745,32.9463,0.17857921198407012
RC4,566725585,34.5445,0.18724350557470476
RC4,648823892,39.4042,0.21358931183325006
RC4,675074379,41.2922,0.22382469307409486
RC4,737597114,43.6636,0.23668072224493142
RC4,741871701,39.4592,0.21388748236727892
RC4,748165790,40.8019,0.22116663829528863
RC4,821580220,51.7572,0.2805584137761292
RC4,924280634,57.3361,0.31080320636328446
RC4,996664042,57.4541,0.31144291769083726
AES,28318,0.0218,8.619839074652145e-05
AES,98870,0.0231,9.324605791447603e-05
AES,352742,0.0338,0.0001512537799891791
AES,16024794,0.4475,0.002394038324129803
AES,72636361,3.04125,0.016455489644808415
AES,155632156,5.9901,0.03244203835882602
AES,194722563,9.9914,0.054134215773546525
AES,206620493,14.9106,0.08080258833708669
AES,231067053,12.5939,0.06824310331554792
AES,249062043,8.1602,0.04420676337511696
AES,252210764,11.2657,0.0610425559828731
AES,267547480,10.7923,0.05847612087725024
AES,290716067,19.889,0.1077919008208906
AES,292568621,10.984200000000001,0.059516464976889075
AES,304138972,13.63345,0.07387879747281499
AES,333093498,13.6402,0.07391539112926399
AES,371659301,13.467799999999999,0.07298076203714446
AES,375070496,19.0406,0.1031924848014347
AES,390131128,21.3604,0.1157687757985278
AES,486937960,22.5568,0.12225479810602079
AES,675074379,32.4227,0.1757406285001155
